date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:33	29703/29703	---M--	200	added ('OK')	text/html	date:Sat,%2029%20May%202021%2012:38:24%20GMT	https://ocsolutions.co.in/html/jobportal/new/index.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/index.html	(from )
11:33:34	42288/42288	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Jun%202020%2019:20:08%20GMT	https://ocsolutions.co.in/robots.txt		(from )
11:33:35	85141/85141	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2009:36:50%20GMT	https://ocsolutions.co.in/html/jobportal/new/css/stylesheet.css	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/css/stylesheet.css	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:35	160302/160302	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2009:29:32%20GMT	https://ocsolutions.co.in/html/jobportal/new/assets/bootstrap/bootstrap.min.css	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/assets/bootstrap/bootstrap.min.css	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:36	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2009:29:35%20GMT	https://ocsolutions.co.in/html/jobportal/new/assets/font-awesome/css/font-awesome.min.css	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/assets/font-awesome/css/font-awesome.min.css	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:36	29703/29703	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Mar%202021%2008:06:57%20GMT	https://ocsolutions.co.in/html/jobportal/new/home.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/home.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:36	8921/8921	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:25%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/logo/Logo.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/logo/Logo.png	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:36	16675/16675	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:43%20GMT	https://ocsolutions.co.in/html/jobportal/new/categories.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/categories.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:37	20844/20844	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:36:50%20GMT	https://ocsolutions.co.in/html/jobportal/new/about-us.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/about-us.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:37	11726/11726	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:45%20GMT	https://ocsolutions.co.in/html/jobportal/new/company-register.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/company-register.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:37	9800/9800	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:19%20GMT	https://ocsolutions.co.in/html/jobportal/new/employer-login.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/employer-login.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:38	24714/24714	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:45%20GMT	https://ocsolutions.co.in/html/jobportal/new/company-listing.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/company-listing.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:38	18218/18218	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:43%20GMT	https://ocsolutions.co.in/html/jobportal/new/company-details.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/company-details.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:38	11323/11323	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:26%20GMT	https://ocsolutions.co.in/html/jobportal/new/post-job.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/post-job.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:39	30702/30702	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:24%20GMT	https://ocsolutions.co.in/html/jobportal/new/job-listing.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/job-listing.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:39	15069/15069	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:23%20GMT	https://ocsolutions.co.in/html/jobportal/new/job-details.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/job-details.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:39	19320/19320	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:41%20GMT	https://ocsolutions.co.in/html/jobportal/new/candidate-listing.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/candidate-listing.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:39	19365/19365	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:39%20GMT	https://ocsolutions.co.in/html/jobportal/new/candidate-details.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/candidate-details.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:40	17139/17139	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:28%20GMT	https://ocsolutions.co.in/html/jobportal/new/profile.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/profile.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:40	11628/11628	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:26%20GMT	https://ocsolutions.co.in/html/jobportal/new/pricing.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/pricing.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:40	11073/11073	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:29%20GMT	https://ocsolutions.co.in/html/jobportal/new/register.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/register.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:40	9496/9496	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:19%20GMT	https://ocsolutions.co.in/html/jobportal/new/forgot-password.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/forgot-password.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:41	10372/10372	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:24%20GMT	https://ocsolutions.co.in/html/jobportal/new/login.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/login.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:41	21007/21007	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:19%20GMT	https://ocsolutions.co.in/html/jobportal/new/faq.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/faq.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:42	15634/15634	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:37%20GMT	https://ocsolutions.co.in/html/jobportal/new/blog.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/blog.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:42	18237/18237	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:38%20GMT	https://ocsolutions.co.in/html/jobportal/new/blog-detail.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/blog-detail.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:42	8577/8577	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:38:43%20GMT	https://ocsolutions.co.in/html/jobportal/new/coming-soon.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/coming-soon.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:42	8332/8332	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:26%20GMT	https://ocsolutions.co.in/html/jobportal/new/not-found.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/not-found.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:42	13037/13037	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:29%20GMT	https://ocsolutions.co.in/html/jobportal/new/term-conditions.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/term-conditions.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:43	11335/11335	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:29:21%20GMT	https://ocsolutions.co.in/html/jobportal/new/contact-us.html	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/contact-us.html	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:43	2857/2857	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:02%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/home/Google-logo.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/home/Google-logo.png	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
11:33:43	2645/2645	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:05%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/home/Microsoft-Logo-PNG.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/home/Microsoft-Logo-PNG.png	(from https://ocsolutions.co.in/html/jobportal/new/index.html)
